Freq.	V(n003)	V(n002)	V(n001)	I(C1)	I(L1)	I(R2)	I(R1)	I(V1)
1.60727895785641e+05	1.33913440083257e-05,-2.59181006491563e-03	9.99998870257242e-01,2.18654521838697e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919985464318e-09,1.57029140809765e-11	1.21739521376777e-02,-2.35619096808941e+00	1.21739490984779e-02,-2.35619096810511e+00	-1.21739521361251e-02,2.35619096808941e+00	-1.21739521364361e-02,2.35619096808941e+00
1.61098411851186e+05	1.33298179910816e-05,-2.58584938434335e-03	9.99998875447800e-01,2.18151657150421e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920022740892e-09,1.56668002843106e-11	1.21180193947289e-02,-2.35077216756920e+00	1.21180163555287e-02,-2.35077216758486e+00	-1.21180193932529e-02,2.35077216756920e+00	-1.21180193928012e-02,2.35077216756920e+00
1.61469782044475e+05	1.32685746452199e-05,-2.57990241077272e-03	9.99998880614511e-01,2.17649948834648e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920059846205e-09,1.56307695338029e-11	1.20623436257642e-02,-2.34536582795957e+00	1.20623405865636e-02,-2.34536582797520e+00	-1.20623436263347e-02,2.34536582795957e+00	-1.20623436268943e-02,2.34536582795957e+00
1.61842008334474e+05	1.32076126721212e-05,-2.57396911269353e-03	9.99998885757485e-01,2.17149394233061e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03920096781044e-09,1.55948216385436e-11	1.20069236502202e-02,-2.33997192061489e+00	1.20069206110193e-02,-2.33997192063048e+00	-1.20069236485803e-02,2.33997192061489e+00	-1.20069236490963e-02,2.33997192061489e+00
1.62215092694690e+05	1.31469307791310e-05,-2.56804945866796e-03	9.99998890876830e-01,2.16649990693452e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03920133546191e-09,1.55589564080613e-11	1.19517582929568e-02,-2.33459041695531e+00	1.19517552537554e-02,-2.33459041697087e+00	-1.19517582935376e-02,2.33459041695531e+00	-1.19517582934350e-02,2.33459041695531e+00
1.62589037103180e+05	1.30865276795331e-05,-2.56214341733037e-03	9.99998895972656e-01,2.16151735569704e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920170142427e-09,1.55231736523219e-11	1.18968463842318e-02,-2.32922128846663e+00	1.18968433450301e-02,-2.32922128848216e+00	-1.18968463827912e-02,2.32922128846663e+00	-1.18968463830242e-02,2.32922128846663e+00
1.62963843542559e+05	1.30264020925218e-05,-2.55625095738717e-03	9.99998901045069e-01,2.15654626221771e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920206570527e-09,1.54874731817278e-11	1.18421867596765e-02,-2.32386450670012e+00	1.18421837204744e-02,-2.32386450671561e+00	-1.18421867594598e-02,2.32386450670012e+00	-1.18421867591678e-02,2.32386450670012e+00
1.63339514000015e+05	1.29665527431752e-05,-2.55037204761664e-03	9.99998906094177e-01,2.15158660015679e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920242831264e-09,1.54518548071170e-11	1.17877782602708e-02,-2.31852004327240e+00	1.17877752210684e-02,-2.31852004328785e+00	-1.17877782618771e-02,2.31852004327240e+00	-1.17877782613505e-02,2.31852004327240e+00
1.63716050467313e+05	1.29069783624276e-05,-2.54450665686876e-03	9.99998911120089e-01,2.14663834323498e-04	1.00000000000000e+00,8.67361737988404e-19	3.03920278925406e-09,1.54163183397618e-11	1.17336197323188e-02,-2.31318786986527e+00	1.17336166931160e-02,-2.31318786988069e+00	-1.17336197331617e-02,2.31318786986527e+00	-1.17336197326949e-02,2.31318786986527e+00
1.64093454940814e+05	1.28476776870431e-05,-2.53865475406506e-03	9.99998916122910e-01,2.14170146523334e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920314853720e-09,1.53808635913680e-11	1.16797100274242e-02,-2.30786795822558e+00	1.16797069882210e-02,-2.30786795824097e+00	-1.16797100260036e-02,2.30786795822558e+00	-1.16797100254189e-02,2.30786795822558e+00
